#	Fracture
2HPP	2 Hour PostPrandial
TSB	Tepid Sponge Bath
TSRH	Texas Scottish Rite Hospital
TSS	Therapeutic Staff Support
TST	Thermoregulatory Sweat Test
TST	Timed Sequential Therapy
TST	Toxic Shock syndrome Toxin
TST	Treadmill Stress Test
TST	Tuberculin Skin Test
TTC	Trying To Conceive
TTD	Tickled To Death
TTES	Train To End Stroke
TTFT	Time To First Treatment
TTH	To Take Home
TTHH	Twin Tier Home Health
TTP	Trusted Third Party
TTSH	Tan Tock Seng Hospital
TTT	Transpupillary ThermoTheraphy
TTT	Twin to Twin Transfusion
TTWB	Toe Touch Weight Bearing
TUBD	Transurethral Balloon Dilation
TUCH	Turku University Central Hospital
TUH	Temple University Hospital
TURP	Trans-Urethral Resection of the Prostate
TV	Total Vagotomy
TV	Truncal Vagotomy
TVH	Total Vaginal Hysterectomy
TVM	Trivandrum
TVS	TransVaginal Sonography
TVU	Total Volume of Urine
TW	T Wave
TWGH	Tung Wah Group of Hospitals
TWH	The Washington Hospital
TWH	Toronto Western Hospital
TWOC	Trial WithOut Catheter
TWOP	The Wellness Opinion Person
TZD	Thiazolidinedione
U/A	UrinAnalysis
UA	Uterine Activity
UA	Ultrasonic Arteriography
UA	Unitary Authority
UA	Upper Airway
UACDS	Uniform Ambulatory Care Data Set
UAH	University Of Alberta Hospital
UAH	University Animal Hospital
UBR	Uniform Business Rate
UBTH	University of Benin Teaching Hospital
UC	Urgent Care
UCC	Urgent Care Center
UCC	Urgent Care Clinic
UCC	Urgent Care Centre
UCD	Ultrasonic Coagulation Device
UCH	University of Colorado Hospital
UCH	University of Chicago Hospital
UCH	University College Hospital Ibadan
UCHG	University College Hospital, Galway (formerly Galway Regional Hospital; now-2013-University Hospital Galway)
UCLA	Used Cadaver Legs and Arms
UCLH	University College London Hospitals
UCMH	Unicoi County Memorial Hospital
UCR	Uniform, Customary, and Reasonable charges
UCR	Usual, Customary, and Reasonable
UCTH	University of Calabar Teaching Hospital
UDCA	Ursodeoxycholic acid
UDH	United Doctors Hospital
UFH	United Family Hospital
UFH	Unfractionated heparin
UH	University Hospital
UHA	Utah Hospital Association
UHA	University Health Alliance
UHB	University Hospital of Brooklyn
UHB	University Hospital Birmingham
UHB	University Hospital in Brno
UHB	University Hospitals Bristol
UHBT	United Hospitals Bristol Trust
UHBT	University Hospitals Bristol Trust
UHC	University Hospitals of Cleveland
UHC	United Hospital Center
UHC	University Hospital Clinics
UHD	United Hospital District
UHDDS	Uniform Hospital Discharge Data Set
UHDDS	Uniform Hospital Discharge Data System
UHDDS	Usetts Hospital Discharge Data Set
UHDDS	Uniform Hospital Discharge Data Sets
UHE	University Hospital East
UHF	United Hospital Fund
UHH	University Hospital of Hartlepool
UHHG	Union Hospital Health Group
UHHS	University Hospitals Health System
UHID	Unique Hospital Identification
UHID	University Hospital for Infectious Diseases
UHK	University Hospital Kerry
UHL	University Hospitals of Leicester
UHLG	University Hospital Limerick Group
UHMB	University Hospitals of Morecambe Bay
UHMG	University Hospital Medical Group
UHMG	University Hospitals Medical Group
UHNBC	University Hospital of Northern British Columbia
UHND	University Hospital North Durham
UHNI	University Hospitals Neurological Institute
UHNM	University Hospitals of North Midlands
UHNM	University Hospital of North Midlands
UHS	Universal Hospital Services
UHSM	University Hospital of South Manchester
UHWI	University Hospital of the West Indies
UHZ	University Hospital Zurich
UIH	University Of Illinois Hospital
UIOB	Urinary Incontinence & Overactive Bladder
UITH	University of Ilorin Teaching Hospital
UKCC	United Kingdom Cochrane Centre
UKH	University of Kansas Hospital
ULH	University of Louisville Hospital
ULH	United Lincolnshire Hospitals
UM	Under Medication
UMH	Union Memorial Hospital
UMH	Underwood Memorial Hospital
UMH	University of Miami Hospital
UMH	Uvalde Memorial Hospital
UNCH	University of North Carolina Hospitals
UNDP	United Nations Development Programme
UNTH	University of Nigeria Teacing Hospital
UNTH	University of Nigeria Teaching Hospital
UP	UreteraPelvic
UPD	UniParental Disomy
UPDRS	Unified Parkinson's Disease Rating Scale
UPI	Unique Patient Identifier
UPIN	Unique Physician Identification Number
UPLI	Urgences Psychiatriques De Liaisons Intersectorielles
UPLI	Unite Psychiatrique De Liaison Intersectorielle
UPMC	University Of Pittsburgh Medical Center
UPP	University of Pittsburgh Physicians
UPPP	UvuloPalatoPharyngoPlasty
UPSH	University Pointe Surgical Hospital
UPTH	University of Port Harcourt Teaching Hospital
UR	Unique Record
URAC	Utilization Review Accreditation Commission
URC	Utilization Review Committee
URMC	University of Rochester Medical Center
URPB	Urine Lead testing
URPH	Ulcerul Recidivat Postoperator Hemoragic
URPS	Urogynecology and Reconstructive Pelvic Surgery
USA	Abdominal Ultrasound
USAMRIID	United States Army Medical Research Institute of Infectious Diseases
USCA	Ultra-Sound Contrast Agent
USGH	United States General Hospital
USH	Utah State Hospital
USH	University Specialty Hospital
USHP	U S Hospital Products
USMH	United States Marine Hospital
USMHK	United States Military Hospital, Kuwait
USMLE	United States Medical Licensing Examination
USMTF	Uniformed Services Medical Treatment Facility
USN	United States Navy
USNH	U.S. Naval Hospital
USNH	US Naval Hospital
USP	United States Pharmacopeia
USPD	UltraSound Percent Density
USS	ultrasound scan
USTH	University of Santo Tomas Hospital
UT	Urine Therapy
UTH	University Teaching Hospital
UTH	Universityrsity Teaching Hospital
UTH	University of Tokyo Hospital
UTI	Urinary Tract Infection
UTMB	Univ of Texas Medical Branch
UTN	Utah Telehealth Network
UTS	Universal Treatment Standards
UUTH	University of Uyo Teaching Hospital
UVGI	Ultra-Violet Germicidal Irradiation
UVH	Uxbridge Veterinary Hospital
UVH	UCD Veterinary Hospital
UVL	Universal Vehicle Lift
UWMC	University of Washington Medical Center
UWN	United Wellness Network
UWR	Upper West Regional Hospital
UWRH	Upper West Regional Hospital
V	Vision (acuity)
V/S	Vital Signs
VAC	Vacuum-assisted closure system
VACTERL	Vertebral anomalies, Anorectal malformations, Cardiovascular anomalies, Tracheoesophageal fistula, Esophageal atresia, Renal (Kidney) and/or radial anomalies, Limb defects
VAMC	Veterans Affairs Medical Center
VAP	Ventilator Associated Pneumonia
VAR	Visual Acuity Rating
VAS	Visual Analogue Scales
VASI	Virginia Ambulatory Surgery Institute
VATS	Video-Assisted Thoracic Surgery
VBAC	Vaginal Birth After Cesarean
VBAC	Vaginal Birth After Ceasarean
VBG	Vertical Banded Gastroplasty
VBH	Virginia Baptist Hospital
VBHM	Value-Based Health Management
VBT	Valuation Basic mortality Table
VBU	Vertical Bedhead Unit
VCC	Vista Community Clinic
VCCT	Voluntary Confidential Counseling and Testing
VCEH	Valenzuela City Emergency Hospital
VCH	Virtual Children's Hospital
VCH	Vanderbilt Children's Hospital
VCH	Vancouver Coastal Health
VCHD	Vermilion Country Health Department
VD	Vaccine Dependent
VD	Venereal Disease
VDPV	Vaccine-Derived Polio Virus
VEH	Veterinary Emergency Hospital
VESA	Very Early Surgical Abortion
VET	Visual Electrodiagnostic Testing
VFCC	Veterans for Compassionate Care
VFD	Volunteers Fighting Disease
VFQ	Visual Function Questionnaire
VFSS	VideoFluoroscopic Swallow Study
VGC	Very Good Condition
VGH	Vancouver General Hospital
VGH	Victoria General Hospital
VGH	Vancouver General Hospital's
VGH	Virginia Gay Hospital
VH	Virtual Hospital
VHA	Voluntary Hospitals Of America
VHC	Virginia Hospital Center
VHG	Vision Hospitality Group
VHH	Verdugo Hills Hospital
VHJ	Voluntary Hospitals of Japan
VHL	Von Hippel-Lindau
VHOC	Virtual Hospital Operations Center
VHW	Volunteer Hospital Worker
VICC	Vanderbilt-Ingram Cancer Center
VIHC	Volunteers In Health Care
VINJ	Vein Institute of New Jersey
VIRHN	Vertically Integrated Rural Health Network
VIU	Visual Internal Urethrotomy
VJH	Vernon Jubilee Hospital
VJH	Victoria Jubilee Hospital
VLI	Ventillator-associated Lung Injury
VMAT	Veterinary Medical Assistance Team
VMH	Vernon Memorial Hospital
VMH	Veterans Memorial Hospital
VMS	Vaccine Management System
VNH	Virtual Naval Hospital
VOGA	Ventilation, Oxygenation, Gas exchange, Acid/base balance
VORB	Verbal Order Read Back
VPH	Vanderbilt Psychiatric Hospital
VRA	Virginia Rehabilitation Association
VRA	Vietnam Rheumatology Association
VRH	Valley Regional Hospital
VRI	Vibration Response Imaging
VRMS	Vital Records Management System
VRSH	Ventilatory Response to Sustained Hypoxia
VRSP	Virtual Reality Surgical Planning
VRT	Vancouver Respiratory Therapists
VRT	Vestibular Rehabilitation Treatment
VSH	Veterinary Specialty Hospital
VSH	Vermont State Hospital
VSLI	Vincristine Sulfate Liposome Injection
VTBI	Volume To Be Infused
VUH	Vanderbilt University Hospital
VUH	Vilnius University Hospital
VUMC	Vanderbilt University Medical Center
VUSM	Vanderbilt University School of Medicine
VVH	Valley View Hospital
VVT	Verbond der Vlaamse Tandartsen
VWM	Vanishing white matter
VWU	Victims and Witnesses Unit
VXU	Vaccination Record Update
W	Waiting
W/F	White Female
WABB	Wisconsin Association of Blood Banks
WABP	Arterial Blood Pressure Waveform
WACAD	WAshington regional Cardiac Arrest Data collection project
WACH	Winn Army Community Hospital
WACH	Weed Army Community Hospital
WAD	Whiplash Associated Disorder
WADEC	Wayne Area Diabetes Endocrine Center
WADN	West African Doctors Network
WADN-PZ	West African Doctors Network Patient Zone
WAEC	West African Examination Council
WAEH	World Association of Eye Hospitals
WAGD	Waste Anesthesia Gas Disposal
WAHF	Wisconsin Association for Health Freedom
WAHG	Wellington Animal Hospital Group
WAHQ	Wisconsin Association for Healthcare Quality
WAHQ	Wyoming Association for Healthcare Quality
WAHS	Watertown Area Health Services
WANQ	Wyke's Assessment of Need Questionnaire
WAPA	Wisconsin Academy of Physician Assistants
WB	wellbeing
WBAC	Well Being Action Council
WBAMC	William Beaumont Army Medical Center
WBC	White Blood Cells
WBCH	West Berkshire Community Hospital
WBEF	Well- Being Evaluation Function
WBH	William Beaumont Hospital
WBHMI	William Beaumont Hospital MIchigan
WBHN	Weight- Based Heparin Nomogram
WBHT	Whole Body Hyperthermia Therapy
WBIC	Wolfson Brain Imaging Centre
WBRH	William Bee Ririe Hospital
WBSO	Water for Bulk Sterile Operations
WC	WheelChair
WCBT	Westchester Center for Behavioral Therapy
WCCBHC	Wyandot Center for Community Behavioral Healthcare
WCCH	Wythe County Community Hospital
WCCH	West Calcasieu Cameron Hospital
WCCH	West Central Community Hospital
WCCH	White County Community Hospital
WCDH	Wray Community District Hospital
WCDP	Wisconsin Chronic Disease Program
WCFH	Wales Centre For Health
WCGT	Wound Closure Grid Tape
WCH	Women's and Children's Hospital
WCH	Winnipeg Children's Hospital
WCH	Wood County Hospital, Bowling Green, Ohio
WCH	Washington County Hospital
WCH	Wood County Hospital
WCHC	Women's Committee for Hospice Care
WCHC	Woodbridge Complementary Health Center
WCHC	Washington County Hospital and Clinics
WCHH	Wong Chuk Hang Hospital
WCHI	Womens' Cardiovascular Health Initiative
WCHR	Whipps Cross Hospital Radio
WCHR	WheelChair
WCIN	Wound Care Information Network
WCMC	White County Medical Center
WCMH	Washington County Memorial Hospital
WCMM	We Care Medical Mall
WCMS	Westchester County Medical Society
WCMS	Whatcom County Medical Society
WCPR	West Coast Post-trauma Retreat
WCTB	Wilmer Clinical Trials & Biometry
WCTI	Wellness Center's Training Institute
WCTM	Will Continue To Monitor
WCTR	Wyoming Central Tumor Registry
WCUH	Whipps Cross University Hospital
WCUI	West Coast Ultrasound Institute
WCV	Well Child Visit
WCWL	Western Canada Waiting List Project
WDGH	West Dorset General Hospital
WDH	Wentworth- Douglass Hospital
WDH	Wentworth Douglass Hospital
WDI	Woods Development Institute
WDL	Within Defined Limits
WDP	Within Defined Parameter
WDSS	Warm, Dry, Suction, Stimulated
WDU	Waste Disposal Unit
WDW	Wet Dry Warm
WED	Willis–Ekbom Disease
WEDP	Weight And Eating Disorders Program
WEH	Wills Eye Hospital
WEHC	West End Health Center
WEHC	Waukesha Elmbrook Health Care
WEIS	Work Environment Impact Scale
WEMC	Wesleyan Emergency Medical Clinic
WEMC	West End Medical Center
WEMS	Woodbury Emergency Medical Service
WEMS	Winnipeg Emergency Medical Services
WEMSI	Wilderness Emergency Medical Services Institute
WEMWBS	Warwick-Edinburgh Mental Wellbeing Scale
WETC	Wellness Educational Training Center
WF	Wound Fluid
WFAB	Wellington Free Ambulance Building
WFAH	Wake Forest Animal Hospital
WFAH	West Friendship Animal Hospital
WFCU	Working Formulation for Clinical Usage
WFH	West Florida Hospital
WFHC	Westside Family Health Center
WFHI	Woman Friendly Hospital Initiative
WFIB	Wound FIBroblast
WFMW	World Federation for Medical Education
WFOH	Wholly Foreign Owned Hospitals
WFP	Working For Patients
WFSH	Wichita Falls State Hospital
WFTS	Willamette Family Treatment Services
WGCN	Working Group Of Cardiovascular Nursing
WGCO	Wehrmedizinische Gesellschaft fur Chirotherapie und Osteopathie, e.V.
WGEC	Wisconsin Grief Education Center
WGH	Warren General Hospital
WGH	Whidbey General Hospital
WGH	Wahiawa General Hospital
WGH	Wayne General Hospital
WGH	Western General Hospital
WGHC	Weirton Geriatric Health Complex
WGHI	Working Group For Hearing Impairment
WGMC	West Georgia Medical Center
WHA	Wisconsin Hospital Association
WHAS	Women Health Advisory Service
WHAV	Women Health Association Of Victoria
WHBA	Western Health Board Area
WHC	Washington Hospital Center
WHCC	Women's Health Concerns Clinic
WHCC	Women's Health Care Centre
WHCE	Women Health Care Executives
WHCP	Women Health Contribution Program
WHCS	Wireless Health Communication System
WHCS	Women's Health Care Services
WHGH	West Haldimand General Hospital
WHGHA	West Haldimand General Hospital Auxiliary
WHH	William Harvey Hospital
WHH	Winter Haven Hospital
WHHA	Women's Hormonal Health Assessment
WHHC	Wheeling Hospital Hand Center
WHHE	Whole Heart Home Education
WHHI	Wockhardt Hospital And Heart Institute
WHHI	Women's Heart Health Initiative
WHHP	Wishard Hispanic Health Project
WHHS	Washington Hospital Healthcare System
WHIC	Women's Health Information Centre
WHIF	Washington Hospital Insurance Fund
WHIMA	Wyoming Health Information Management Association
WHKI	Wockhardt Hospital and Kidney Institute
WHLF	Wrexham Hospital League of Friends
WHMC	Whitman Hospital & Medical Center
WHMC	Wilford Hall Medical Center
WHMC	Woodland Heights Medical Center
WHMC	Whittier Hospital Medical Center
WHMC	Whitman Hospital and Medical Center
WHNT	Wirral Hospital NHS Trust
WHO-ART	World Health Organization Adverse Reaction Terminology
WHO-ORS	World Health Organization - Oral Rehydration System
WHRC	Weston Hospital Revitalization Committee
WHRC	Welsh Hospital Recognition Committee
WHS	Wellmont Health System
WHTF	Weston Hospital Trust Fund
WHVH	Winter Harbor Veterinary Hospital
WHWS	Wrightington Hospital Wrist Scoring
WIAU	Wolfson Image Analysis Unit
WICF	Written Informed Consent From
WICU	Weinberg Intensive Care Unit
WIFH	Women's Institute for Health - Atlanta, Georgia
WIH	Western Isles Hospital
WIH	Women and Infants Hospital
WIHC	Winslow Indian Health Center
WIHI	Water Institutions Health Index
WIIC	Women's Issues Information Centre
WIMPT	Wasted import
WISH	Women Involved in Supporting the Hospital
WJMC	West Jefferson Medical Center
WKMH	Walter Knox Memorial Hospital
WLM	West Lincoln Memorial Hospital
WLMH	West Lincoln Memorial Hospital
WMAH	West Main Animal Hospital
WMCH	West Marion Community Hospital
WMEH	World Mate Emergency Hospital
WMGH	Wilson Memorial General Hospital
WMH	Wilson Memorial Hospital
WMH	Wayne Memorial Hospital
WMH	Waukesha Memorial Hospital
WMH	Watertown Memorial Hospital
WMH	Warren Memorial Hospital
WMH	War Memorial Hospital
WMHB	Wyoming Miners Hospital Board
WMHC	Western Maryland Hospital Center
WMHD	Weber Morgan Health Department
WMMC	Weiner Memorial Medical Center
WMMC	White Memorial Medical Center
WMSL	Whitehorse Medical Services, LTD.
WMVH	West Midlands Virtual Hospital
WMVH	Wynnum Manly Vet Hospital
WNH	William Newton Hospital
WNJ	Wilson N. Jones Medical Center
WNMH	William Newton Memorial Hospital
WOB	Work Of Breathing
WOMAC	Western Ontario and McMaster Universities Osteoarthritis Index
WOSH	Wildwood Orthopaedic and Spine Hospital
WOSOL	Wasted outside of laboratory
WOW	Working On Wellness
WOW	Wound On Wound
WPAH	Well Pet Animal Hospital
WPH	White Plains Hospital
WPH	Western Pennsylvania Hospital
WPHC	White Plains Hospital Center
WPHO	Washington Physician Hospital Organization
WPHO	Watertown Healthcare Physician Hospital Organization
WPIC	Western Psychiatric Institute and Clinic, University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania
WPMC	Wauwatosa Pain Management Clinic
WPMH	Winter Park Memorial Hospital
WPMP	Waverley Park Medical Practice
